NAME                                                READY   STATUS    RESTARTS        AGE   IP             NODE                             NOMINATED NODE   READINESS GATES
eurotransit-catalog-7ddb546679-74zv7                1/1     Running   0               52m   10.244.2.233   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-catalog-7ddb546679-7f2w8                1/1     Running   0               52m   10.244.1.66    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-frontend-78c4c556cb-8bkcq               1/1     Running   0               9h    10.244.1.44    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-frontend-78c4c556cb-vz7bw               1/1     Running   0               17h   10.244.2.232   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-inventory-6f94ffd594-6hnrf              1/1     Running   0               47m   10.244.1.32    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-inventory-6f94ffd594-8dsld              1/1     Running   5 (49m ago)     52m   10.244.0.76    aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-inventory-db-1                          1/1     Running   0               49m   10.244.2.93    aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-kafka-dual-role-0                       1/1     Running   0               51m   10.244.1.236   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-1                       1/1     Running   0               52m   10.244.2.17    aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-kafka-dual-role-2                       1/1     Running   0               52m   10.244.1.129   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-entity-operator-f4ffb7577-f6zsp   1/1     Running   6 (9h ago)      17h   10.244.0.112   aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-notifications-84bfd8b74b-c4hfm          1/1     Running   2 (9h ago)      17h   10.244.2.138   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-notifications-db-1                      1/1     Running   0               51m   10.244.2.168   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-orders-d7dfb978b-fgs9r                  1/1     Running   3 (51m ago)     52m   10.244.0.6     aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-orders-d7dfb978b-tm77m                  1/1     Running   0               50m   10.244.1.21    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-db-1                             1/1     Running   1 (2m32s ago)   51m   10.244.1.198   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-db-2                             1/1     Running   0               52m   10.244.0.45    aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-payments-c8dff8d54-t6t7q                1/1     Running   1 (52m ago)     52m   10.244.0.69    aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-payments-c8dff8d54-x2dg6                1/1     Running   0               51m   10.244.2.9     aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-payments-db-1                           1/1     Running   0               52m   10.244.2.66    aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-payments-c8dff8d54-fj5qx                0/1     Pending   0               0s    <none>         <none>                           <none>           <none>
eurotransit-inventory-6f94ffd594-9f7b8              0/1     Pending   0               0s    <none>         <none>                           <none>           <none>
eurotransit-payments-c8dff8d54-fj5qx                0/1     Pending   0               0s    <none>         aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-inventory-6f94ffd594-9f7b8              0/1     Pending   0               0s    <none>         aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-inventory-6f94ffd594-7l9zl              0/1     Pending   0               0s    <none>         <none>                           <none>           <none>
eurotransit-payments-c8dff8d54-fj5qx                0/1     ContainerCreating   0               0s    <none>         aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-inventory-6f94ffd594-9f7b8              0/1     ContainerCreating   0               0s    <none>         aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-inventory-6f94ffd594-7l9zl              0/1     Pending             0               0s    <none>         aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-payments-c8dff8d54-9wc57                0/1     Pending             0               0s    <none>         <none>                           <none>           <none>
eurotransit-payments-c8dff8d54-9wc57                0/1     Pending             0               0s    <none>         aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-inventory-6f94ffd594-7l9zl              0/1     ContainerCreating   0               0s    <none>         aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-payments-c8dff8d54-9wc57                0/1     ContainerCreating   0               0s    <none>         aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-inventory-6f94ffd594-9f7b8              0/1     Running             0               1s    10.244.2.188   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-payments-c8dff8d54-fj5qx                0/1     Running             0               1s    10.244.1.93    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-inventory-6f94ffd594-7l9zl              0/1     Running             0               2s    10.244.2.121   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-payments-c8dff8d54-9wc57                0/1     Running             0               2s    10.244.2.124   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-payments-c8dff8d54-fj5qx                0/1     Running             0               21s   10.244.1.93    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-payments-c8dff8d54-fj5qx                1/1     Running             0               21s   10.244.1.93    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-payments-c8dff8d54-9wc57                0/1     Running             0               41s   10.244.2.124   aks-sysb2s-33819783-vmss00000r   <none>           <none>
